population,country,countryLabel,countryContent,countryAlias,countryWikilink
14309466,http://www.wikidata.org/entity/Q953,Zambia,country in Africa,"zm, ZAM, Republic of Zambia, 🇿🇲",https://en.wikipedia.org/wiki/Zambia
15301650,http://www.wikidata.org/entity/Q912,Mali,country in Africa,"ml, Republic of Mali, République du Mali, 🇲🇱",https://en.wikipedia.org/wiki/Mali
16362567,http://www.wikidata.org/entity/Q1020,Malawi,country in Africa,"mw, Republic of Malawi, 🇲🇼",https://en.wikipedia.org/wiki/Malawi
16934839,http://www.wikidata.org/entity/Q965,Burkina Faso,country in Africa,"bf, 🇧🇫",https://en.wikipedia.org/wiki/Burkina%20Faso
17831270,http://www.wikidata.org/entity/Q1032,Niger,country in Western Africa,"ne, Republic Niger, Republic of Niger, 🇳🇪",https://en.wikipedia.org/wiki/Niger
20316086,http://www.wikidata.org/entity/Q1008,Côte d'Ivoire,country in Africa,"ci, Cote d'Ivoire, Ivory Coast, Republic of Côte d'Ivoire, 🇨🇮",https://en.wikipedia.org/wiki/Ivory%20Coast
21471618,http://www.wikidata.org/entity/Q916,Angola,country in Africa,"Ꜵ, ao, Republic of Angola",https://en.wikipedia.org/wiki/Angola
22253959,http://www.wikidata.org/entity/Q1009,Cameroon,country in Africa,"cm, 🇨🇲",https://en.wikipedia.org/wiki/Cameroon
22924851,http://www.wikidata.org/entity/Q1019,Madagascar,"country in the Indian Ocean, off the coast of Southeast Africa","mg, Republic of Madagascar, 🇲🇬",https://en.wikipedia.org/wiki/Madagascar
25833752,http://www.wikidata.org/entity/Q1029,Mozambique,country in Africa,"MOZ, Moçambique, mz, MZ, Republic of Mozambique, República de Moçambique, 🇲🇿",https://en.wikipedia.org/wiki/Mozambique
25904598,http://www.wikidata.org/entity/Q117,Ghana,country in West Africa,"Republic of Ghana, 🇬🇭",https://en.wikipedia.org/wiki/Ghana
33008150,http://www.wikidata.org/entity/Q1028,Morocco,country in North Africa,"Marocco, ma, Maroc, al-Maġrib, Kingdom of Morocco, Lmaġrib, 🇲🇦",https://en.wikipedia.org/wiki/Morocco
37578876,http://www.wikidata.org/entity/Q1036,Uganda,republic in Central Africa,"Republic of Uganda, ug, 🇺🇬",https://en.wikipedia.org/wiki/Uganda
38813722,http://www.wikidata.org/entity/Q262,Algeria,country in North Africa,"dz, PDRA, People’s Democratic Republic of Algeria",https://en.wikipedia.org/wiki/Algeria
40235000,http://www.wikidata.org/entity/Q1049,Sudan,country in Africa,"as-Sūdān, North Sudan, Republic of the Sudan, sd, the Sudan, 🇸🇩",https://en.wikipedia.org/wiki/Sudan
44353691,http://www.wikidata.org/entity/Q114,Kenya,republic in East Africa,"ke, KE, KEN, Republic of Kenya, 🇰🇪",https://en.wikipedia.org/wiki/Kenya
49253126,http://www.wikidata.org/entity/Q924,Tanzania,country in Africa,"tz, United Republic of Tanzania, 🇹🇿",https://en.wikipedia.org/wiki/Tanzania
54002000,http://www.wikidata.org/entity/Q258,South Africa,republic in Southern Africa,"SA, RSA, za, Republic of South Africa",https://en.wikipedia.org/wiki/South%20Africa
67513677,http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,country in Africa,"cd, Congo, Congo-Kinshasa, Dem. Rep. Congo, Dem. Republic of Congo, Dem. Republic of the Congo, Democratic Republic of Congo, DR Congo, DRC, Zaire, 🇨🇩",https://en.wikipedia.org/wiki/Democratic%20Republic%20of%20the%20Congo
82056378,http://www.wikidata.org/entity/Q79,Egypt,republic in North Africa,"Arab Republic of Egypt, eg, EGY, Arab Rep. Egypt",https://en.wikipedia.org/wiki/Egypt
96958732,http://www.wikidata.org/entity/Q115,Ethiopia,country in Africa,"et, Federal Democratic Republic of Ethiopia, 🇪🇹",https://en.wikipedia.org/wiki/Ethiopia
173615345,http://www.wikidata.org/entity/Q1033,Nigeria,country in Africa,"Federal Republic of Nigeria, ng, 🇳🇬",https://en.wikipedia.org/wiki/Nigeria
