country,countryLabel,countryContent,countryAlias,countryWikilink,capital,capitalLabel,capitalContent,capitalAlias,capitalWikilink
http://www.wikidata.org/entity/Q114,Kenya,republic in East Africa,"ke, KE, KEN, Republic of Kenya, 🇰🇪",https://en.wikipedia.org/wiki/Kenya,http://www.wikidata.org/entity/Q3870,Nairobi,capital city of Kenya,,
http://www.wikidata.org/entity/Q1013,Lesotho,kingdom in southern Africa,"ls, Kingdom of Lesotho, 🇱🇸",https://en.wikipedia.org/wiki/Lesotho,http://www.wikidata.org/entity/Q3909,Maseru,capital of Lesotho,,
http://www.wikidata.org/entity/Q1014,Liberia,republic in West Africa,"lr, Republic of Liberia, 🇱🇷",https://en.wikipedia.org/wiki/Liberia,http://www.wikidata.org/entity/Q3748,Monrovia,capital city of Liberia,,
http://www.wikidata.org/entity/Q1016,Libya,country in north Africa,"ly, State of Libya, 🇱🇾",https://en.wikipedia.org/wiki/Libya,http://www.wikidata.org/entity/Q3579,Tripoli,capital city of Libya,,
http://www.wikidata.org/entity/Q1019,Madagascar,"country in the Indian Ocean, off the coast of Southeast Africa","mg, Republic of Madagascar, 🇲🇬",https://en.wikipedia.org/wiki/Madagascar,http://www.wikidata.org/entity/Q3915,Antananarivo,capital of Madagascar,Tananarive,
http://www.wikidata.org/entity/Q1020,Malawi,country in Africa,"mw, Republic of Malawi, 🇲🇼",https://en.wikipedia.org/wiki/Malawi,http://www.wikidata.org/entity/Q3876,Lilongwe,capital of Malawi,,
http://www.wikidata.org/entity/Q912,Mali,country in Africa,"ml, Republic of Mali, République du Mali, 🇲🇱",https://en.wikipedia.org/wiki/Mali,http://www.wikidata.org/entity/Q3703,Bamako,capital of Mali,,
http://www.wikidata.org/entity/Q1025,Mauritania,country in Africa,"mr, Agawej, Gànnaar, Islamic Republic of Mauritania, Moritani, Muritanya, Murutaane, 🇲🇷",https://en.wikipedia.org/wiki/Mauritania,http://www.wikidata.org/entity/Q3688,Nouakchott,capital of Mauritania,,
http://www.wikidata.org/entity/Q1027,Mauritius,island nation in the Indian Ocean,"Maurice, mu, Moris, Île Maurice, Republic of Mauritius, 🇲🇺",https://en.wikipedia.org/wiki/Mauritius,http://www.wikidata.org/entity/Q3929,Port Louis,city in Mauritius,,
http://www.wikidata.org/entity/Q1028,Morocco,country in North Africa,"Marocco, ma, Maroc, al-Maġrib, Kingdom of Morocco, Lmaġrib, 🇲🇦",https://en.wikipedia.org/wiki/Morocco,http://www.wikidata.org/entity/Q3551,Rabat,capital of Morocco,,
http://www.wikidata.org/entity/Q1029,Mozambique,country in Africa,"MOZ, Moçambique, mz, MZ, Republic of Mozambique, República de Moçambique, 🇲🇿",https://en.wikipedia.org/wiki/Mozambique,http://www.wikidata.org/entity/Q3889,Maputo,capital of Mozambique,Lourenço Marques,
http://www.wikidata.org/entity/Q1030,Namibia,country in Africa,"na, Republic of Namibia, 🇳🇦",https://en.wikipedia.org/wiki/Namibia,http://www.wikidata.org/entity/Q3935,Windhoek,capital of the Republic of Namibia,,
http://www.wikidata.org/entity/Q1032,Niger,country in Western Africa,"ne, Republic Niger, Republic of Niger, 🇳🇪",https://en.wikipedia.org/wiki/Niger,http://www.wikidata.org/entity/Q3674,Niamey,capital of Niger,,
http://www.wikidata.org/entity/Q1033,Nigeria,country in Africa,"Federal Republic of Nigeria, ng, 🇳🇬",https://en.wikipedia.org/wiki/Nigeria,http://www.wikidata.org/entity/Q3787,Abuja,capital city of Nigeria,,
http://www.wikidata.org/entity/Q971,Republic of the Congo,country in Africa,"cg, Congo Republic, Congo-Brazzaville, Rep. Congo, Republic of Congo, République du Congo, 🇨🇬",https://en.wikipedia.org/wiki/Republic%20of%20the%20Congo,http://www.wikidata.org/entity/Q3844,Brazzaville,capital of the Republic of the Congo,,
http://www.wikidata.org/entity/Q1037,Rwanda,country in Africa,"Republic of Rwanda, rw, 🇷🇼",https://en.wikipedia.org/wiki/Rwanda,http://www.wikidata.org/entity/Q3859,Kigali,capital of Rwanda,,
http://www.wikidata.org/entity/Q1039,Sao Tomé and Príncipe,country in Africa,"st, Democratic Republic of São Tomé and Príncipe, Sao Tome and Principe, São Tomé and Príncipe, São Tomé og Príncipe, 🇸🇹",https://en.wikipedia.org/wiki/S%C3%A3o%20Tom%C3%A9%20and%20Pr%C3%ADncipe,http://www.wikidata.org/entity/Q3932,São Tomé,capital city of São Tomé and Príncipe,,
http://www.wikidata.org/entity/Q1041,Senegal,country in Western Africa,"Republic of Senegal, République du Sénégal, Sénégal, sn, 🇸🇳",https://en.wikipedia.org/wiki/Senegal,http://www.wikidata.org/entity/Q3718,Dakar,capital of Senegal,,
http://www.wikidata.org/entity/Q1042,Seychelles,island country to the East of Africa,"sc, Republic of Seychelles, 🇸🇨",https://en.wikipedia.org/wiki/Seychelles,http://www.wikidata.org/entity/Q3940,Victoria,capital city of the Seychelles,"Port Victoria, Victoria, Seychelles",
http://www.wikidata.org/entity/Q1044,Sierra Leone,country in Africa,"sl, Republic of Sierra Leone, 🇸🇱",https://en.wikipedia.org/wiki/Sierra%20Leone,http://www.wikidata.org/entity/Q3780,Freetown,capital of Sierra Leone,,
http://www.wikidata.org/entity/Q1045,Somalia,country in Africa,"aṣ-Ṣūmāl, Federal Republic of Somalia, so, Soomaaliya, 🇸🇴",https://en.wikipedia.org/wiki/Somalia,http://www.wikidata.org/entity/Q2449,Mogadishu,capital of Somalia,"Xamar, The Seat of the Shah",
http://www.wikidata.org/entity/Q258,South Africa,republic in Southern Africa,"SA, RSA, za, Republic of South Africa",https://en.wikipedia.org/wiki/South%20Africa,http://www.wikidata.org/entity/Q3926,Pretoria,capital city of South Africa,,
http://www.wikidata.org/entity/Q258,South Africa,republic in Southern Africa,"SA, RSA, za, Republic of South Africa",https://en.wikipedia.org/wiki/South%20Africa,http://www.wikidata.org/entity/Q5465,Cape Town,"city in the Western Cape, South Africa","iKapa, Kaapstad",
http://www.wikidata.org/entity/Q258,South Africa,republic in Southern Africa,"SA, RSA, za, Republic of South Africa",https://en.wikipedia.org/wiki/South%20Africa,http://www.wikidata.org/entity/Q37701,Bloemfontein,"city in the Free State, South Africa",,
http://www.wikidata.org/entity/Q958,South Sudan,country in Africa,"Republic of South Sudan, Southern Sudan, ss, 🇸🇸",https://en.wikipedia.org/wiki/South%20Sudan,http://www.wikidata.org/entity/Q1947,Juba,capital of the Republic of South Sudan,,
http://www.wikidata.org/entity/Q1049,Sudan,country in Africa,"as-Sūdān, North Sudan, Republic of the Sudan, sd, the Sudan, 🇸🇩",https://en.wikipedia.org/wiki/Sudan,http://www.wikidata.org/entity/Q1963,Khartoum,capital city of Sudan,,
http://www.wikidata.org/entity/Q1050,Swaziland,country in Africa,"Eswatini, kaNgwane, Kingdom of Swaziland, sz, Umbuso weSwatini, 🇸🇿",https://en.wikipedia.org/wiki/Swaziland,http://www.wikidata.org/entity/Q3904,Mbabane,city in Swaziland,,
http://www.wikidata.org/entity/Q1050,Swaziland,country in Africa,"Eswatini, kaNgwane, Kingdom of Swaziland, sz, Umbuso weSwatini, 🇸🇿",https://en.wikipedia.org/wiki/Swaziland,http://www.wikidata.org/entity/Q101418,Lobamba,city in Swaziland,,
http://www.wikidata.org/entity/Q924,Tanzania,country in Africa,"tz, United Republic of Tanzania, 🇹🇿",https://en.wikipedia.org/wiki/Tanzania,http://www.wikidata.org/entity/Q3866,Dodoma,city and capital of Tanzania,,
http://www.wikidata.org/entity/Q945,Togo,country in Africa,"République Togolaise, tg, Togolese Republic, 🇹🇬",https://en.wikipedia.org/wiki/Togo,http://www.wikidata.org/entity/Q3792,Lomé,capital of Togo,"Lome, Togo",
http://www.wikidata.org/entity/Q948,Tunisia,country in northern Africa,"al-Jumhūriyyah at-Tūnisiyyah, Republic of Tunisia, République tunisienne, tn, Tūnis, Tunisian Republic, Tunisie, 🇹🇳",https://en.wikipedia.org/wiki/Tunisia,http://www.wikidata.org/entity/Q3572,Tunis,capital city of Tunisia,,
http://www.wikidata.org/entity/Q1036,Uganda,republic in Central Africa,"Republic of Uganda, ug, 🇺🇬",https://en.wikipedia.org/wiki/Uganda,http://www.wikidata.org/entity/Q3894,Kampala,capital of Uganda,,
http://www.wikidata.org/entity/Q953,Zambia,country in Africa,"zm, ZAM, Republic of Zambia, 🇿🇲",https://en.wikipedia.org/wiki/Zambia,http://www.wikidata.org/entity/Q3881,Lusaka,capital of Zambia,,
http://www.wikidata.org/entity/Q954,Zimbabwe,country in Africa,"Republic of Zimbabwe, zw, 🇿🇼",https://en.wikipedia.org/wiki/Zimbabwe,http://www.wikidata.org/entity/Q3921,Harare,capital of Zimbabwe,Salisbury,
