;;;p;pLabel;pContent;pAlias;pWikilink;"pPicture;"
People;Nobel Peace Prize Winners;1920 - 1929;http://www.wikidata.org/entity/Q206446;Christian Lous Lange;Norwegian diplomat and Nobel Peace Prize recipient;;https://en.wikipedia.org/wiki/Christian%20Lous%20Lange;"http://commons.wikimedia.org/wiki/Special:FilePath/Christian%20Lous%20Lange.jpg;"
People;Nobel Peace Prize Winners;1920 - 1929;http://www.wikidata.org/entity/Q72292;Fridtjof Nansen;Norwegian polar explorer and Nobel Peace Prize laureate;Fridtjof Wedel-Jarlsberg Nansen;https://en.wikipedia.org/wiki/Fridtjof%20Nansen;"http://commons.wikimedia.org/wiki/Special:FilePath/Fridtjof%20Nansen%20LOC%2003377u-3.jpg;"
People;Nobel Peace Prize Winners;1920 - 1929;http://www.wikidata.org/entity/Q188999;Austen Chamberlain;British politician;Sir Joseph Austen Chamberlain;https://en.wikipedia.org/wiki/Austen%20Chamberlain;"http://commons.wikimedia.org/wiki/Special:FilePath/Laszlo%20-%20The%20Rt.%20Hon.%20Sir%20Austen%20Chamberlain.jpg;"
People;Nobel Peace Prize Winners;1920 - 1929;http://www.wikidata.org/entity/Q184565;Charles G. Dawes;United States Army general;Charles Dawes, Charles Gates Dawes;https://en.wikipedia.org/wiki/Charles%20G.%20Dawes;"http://commons.wikimedia.org/wiki/Special:FilePath/Chas%20G%20Dawes-H%26E.jpg;"
People;Nobel Peace Prize Winners;1920 - 1929;http://www.wikidata.org/entity/Q179888;Aristide Briand;French politician, statesman, and Nobel Peace Prize laureate;Aristide Pierre Henri Briand;https://en.wikipedia.org/wiki/Aristide%20Briand;"http://commons.wikimedia.org/wiki/Special:FilePath/Aristide%20Briand%202.jpg;"
People;Nobel Peace Prize Winners;1920 - 1929;http://www.wikidata.org/entity/Q103955;Gustav Stresemann;German politician, statesman, and Nobel Peace Prize laureate;;https://en.wikipedia.org/wiki/Gustav%20Stresemann;"http://commons.wikimedia.org/wiki/Special:FilePath/Bundesarchiv%20Bild%20146-1989-040-27%2C%20Gustav%20Stresemann.jpg;"
People;Nobel Peace Prize Winners;1920 - 1929;http://www.wikidata.org/entity/Q273607;Ferdinand Buisson;French academic and politician;Ferdinand Edouard Buisson;https://en.wikipedia.org/wiki/Ferdinand%20Buisson;"http://commons.wikimedia.org/wiki/Special:FilePath/Ferdinand%20Buisson%20%281841-1932%29.jpg;"
People;Nobel Peace Prize Winners;1920 - 1929;http://www.wikidata.org/entity/Q76696;Ludwig Quidde;German politician;;https://en.wikipedia.org/wiki/Ludwig%20Quidde;"http://commons.wikimedia.org/wiki/Special:FilePath/Ludwig%20Quidde%20nobel.jpg;"
People;Nobel Peace Prize Winners;1920 - 1929;http://www.wikidata.org/entity/Q193009;Frank B. Kellogg;American politician;Frank Billings Kellogg;https://en.wikipedia.org/wiki/Frank%20B.%20Kellogg;"http://commons.wikimedia.org/wiki/Special:FilePath/FrankKellogg.jpg;"
People;Nobel Peace Prize Winners;1930 - 1939;http://www.wikidata.org/entity/Q159723;Nathan Söderblom;Swedish clergyman;Lars Olof Jonathan Söderblom, Nathan Soderblom;https://en.wikipedia.org/wiki/Nathan%20S%C3%B6derblom;"http://commons.wikimedia.org/wiki/Special:FilePath/Nathan%20Soderblom.jpg;"
