country,countryLabel,countryContent,countryAlias,countryWikilink,capital,capitalLabel,capitalContent,capitalAlias,capitalWikilink
http://www.wikidata.org/entity/Q833,Malaysia,federal constitutional monarchy in Southeast Asia,"my, 🇲🇾",https://en.wikipedia.org/wiki/Malaysia,http://www.wikidata.org/entity/Q1865,Kuala Lumpur,capital of Malaysia,KL,
http://www.wikidata.org/entity/Q826,Maldives,country in Asia,"mv, 🇲🇻",https://en.wikipedia.org/wiki/Maldives,http://www.wikidata.org/entity/Q9347,Malé,capital of Maldives,,
http://www.wikidata.org/entity/Q711,Mongolia,"country in East Asia, between China and Russia","mn, MNG, Mongol uls, 🇲🇳",https://en.wikipedia.org/wiki/Mongolia,http://www.wikidata.org/entity/Q23430,Ulaanbaatar,capital of Mongolia,"Ulan Bator, Capital of Mongolia, East Hüree, Hüree, Ih Huree, Khan of Urga, Niislel Hüree, Ulan-Bator, Улаанбаатар, ᠤᠯᠠᠭᠠᠨᠪᠠᠭᠠᠲᠤᠷ",
http://www.wikidata.org/entity/Q836,Myanmar,country in Southeast Asia,"Burma, MM, Republic of the Union of Myanmar, Union of Burma, 🇲🇲",https://en.wikipedia.org/wiki/Myanmar,http://www.wikidata.org/entity/Q37400,Naypyidaw,Capital of Myanmar,,
http://www.wikidata.org/entity/Q837,Nepal,country in South Asia located between India & China,"Federal Democratic Republic of Nepal, NP, NPL, 🇳🇵",https://en.wikipedia.org/wiki/Nepal,http://www.wikidata.org/entity/Q3037,Kathmandu,capital of Nepal,,
http://www.wikidata.org/entity/Q423,North Korea,country in East Asia,"kp, Dem. Rep. Korea, Democratic People's Republic of Korea, DPRK, N. Korea, PRK",https://en.wikipedia.org/wiki/North%20Korea,http://www.wikidata.org/entity/Q18808,Pyongyang,capital city of North Korea,"Capital of Revolution, Ryugyong",
http://www.wikidata.org/entity/Q842,Oman,country in Western Asia,"om, 🇴🇲",https://en.wikipedia.org/wiki/Oman,http://www.wikidata.org/entity/Q3826,Muscat,capital of Oman,,
http://www.wikidata.org/entity/Q843,Pakistan,republic in Asia,"Islamic Republic of Pakistan, pk, 🇵🇰",https://en.wikipedia.org/wiki/Pakistan,http://www.wikidata.org/entity/Q1362,Islamabad,capital city of Pakistan,Islām ābād,
http://www.wikidata.org/entity/Q148,People's Republic of China,state in East Asia,"China, PRC, CN, cn, PR China",https://en.wikipedia.org/wiki/China,http://www.wikidata.org/entity/Q956,Beijing,capital city of China,"BJ, Peking, Beiping, Khanbaliq, Peiping, Yanjing, Zhongdu",
http://www.wikidata.org/entity/Q928,Philippines,republic in Southeast Asia,"PH, RP, Republic of the Philippines, ph, Philippine Islands, PHL, the Philippines, 🇵🇭",https://en.wikipedia.org/wiki/Philippines,http://www.wikidata.org/entity/Q1461,Manila,capital city of the Philippines,City of Manila,
