population,country,countryLabel,countryContent,countryAlias,countryWikilink
65931550,http://www.wikidata.org/entity/Q869,Thailand,constitutional monarchy in Southeast Asia,"Siam, th, Kingdom of Thailand, 🇹🇭",https://en.wikipedia.org/wiki/Thailand
76223639,http://www.wikidata.org/entity/Q43,Turkey,country spanning Southeastern Europe and Western Asia,"Republic of Turkey, tr",https://en.wikipedia.org/wiki/Turkey
77447168,http://www.wikidata.org/entity/Q794,Iran,country in Western Asia,"Persia, ir, 🇮🇷, Islamic Rep. Iran, Islamic Republic of Iran, Republic of Iran",https://en.wikipedia.org/wiki/Iran
82056378,http://www.wikidata.org/entity/Q79,Egypt,republic in North Africa,"Arab Republic of Egypt, eg, EGY, Arab Rep. Egypt",https://en.wikipedia.org/wiki/Egypt
91700000,http://www.wikidata.org/entity/Q881,Vietnam,republic in Southeast Asia,"Socialist Republic of Vietnam, Viet Nam, vn, 🇻🇳",https://en.wikipedia.org/wiki/Vietnam
100981437,http://www.wikidata.org/entity/Q928,Philippines,republic in Southeast Asia,"PH, RP, Republic of the Philippines, ph, Philippine Islands, PHL, the Philippines, 🇵🇭",https://en.wikipedia.org/wiki/Philippines
127110047,http://www.wikidata.org/entity/Q17,Japan,constitutional monarchy in East Asia,"JA, JPN, jp, JAP, Nippon, Land of the Rising Sun, JP, Nihon, 🇯🇵, Nihon-koku, Nippon-koku, State of Japan, 🗾",https://en.wikipedia.org/wiki/Japan
146519759,http://www.wikidata.org/entity/Q159,Russia,transcontinental country in Eastern Europe and Northern Asia,"ru, Rossiya, RU, Rossija, Rossijskaja Federatsija, Rossiyskaya Federatsiya, Russian Federation",https://en.wikipedia.org/wiki/Russia
156594962,http://www.wikidata.org/entity/Q902,Bangladesh,country in South Asia,"bd, People's Republic of Bangladesh, 🇧🇩",https://en.wikipedia.org/wiki/Bangladesh
182142594,http://www.wikidata.org/entity/Q843,Pakistan,republic in Asia,"Islamic Republic of Pakistan, pk, 🇵🇰",https://en.wikipedia.org/wiki/Pakistan
249865631,http://www.wikidata.org/entity/Q252,Indonesia,republic in Southeast Asia,"ID, id, RI, IDN, Negara Kesatuan Republik Indonesia, NKRI, Republic of Indonesia, Republik Indonesia",https://en.wikipedia.org/wiki/Indonesia
1263200000,http://www.wikidata.org/entity/Q668,India,a federal republic in South Asia,"in, Aryavart, Bharat, Bharatvarsh, Hindustan, IN, Republic of India",https://en.wikipedia.org/wiki/India
1350695000,http://www.wikidata.org/entity/Q148,People's Republic of China,state in East Asia,"China, PRC, CN, cn, PR China",https://en.wikipedia.org/wiki/China
