p,pLabel,pAlias,pContent,pWikilink,pPicture,w,wLabel,wAlias,wContent,wWikilink,wPicture
http://www.wikidata.org/entity/Q11896,Zachary Taylor,,"American general and politician, 12th president of the United States (in office from 1849 to 1850)",https://en.wikipedia.org/wiki/Zachary%20Taylor,http://commons.wikimedia.org/wiki/Special:FilePath/Zachary%20Taylor%20by%20Joseph%20Henry%20Bush%2C%20c1848.jpg,http://www.wikidata.org/entity/Q234302,Margaret Taylor,"Margaret Mackall Smith ""Peggy"" Taylor",First Lady of the United States,https://en.wikipedia.org/wiki/Margaret%20Taylor,http://commons.wikimedia.org/wiki/Special:FilePath/Margaret%20Taylor.jpg
http://www.wikidata.org/entity/Q12306,Millard Fillmore,,"American politician, 13th president of the United States (in office from 1850 to 1853)",https://en.wikipedia.org/wiki/Millard%20Fillmore,http://commons.wikimedia.org/wiki/Special:FilePath/Millard%20Fillmore.jpg,http://www.wikidata.org/entity/Q234266,Abigail Fillmore,Abigail Powers Fillmore,wife of US President Millard Fillmore,https://en.wikipedia.org/wiki/Abigail%20Fillmore,http://commons.wikimedia.org/wiki/Special:FilePath/Abigail%20Fillmore%20%28Library%20of%20Congress%29.jpg
http://www.wikidata.org/entity/Q12312,Franklin Pierce,,"American politician, 14th president of the United States (in office from 1853 to 1857)",https://en.wikipedia.org/wiki/Franklin%20Pierce,http://commons.wikimedia.org/wiki/Special:FilePath/Franklin%20Pierce.jpg,http://www.wikidata.org/entity/Q238371,Jane Pierce,,American politician,https://en.wikipedia.org/wiki/Jane%20Pierce,http://commons.wikimedia.org/wiki/Special:FilePath/Jane%20Pierce%20portrait.jpg
http://www.wikidata.org/entity/Q91,Abraham Lincoln,"Lincoln, Honest Abe, Abe Lincoln",16th President of the United States,https://en.wikipedia.org/wiki/Abraham%20Lincoln,http://commons.wikimedia.org/wiki/Special:FilePath/Abraham%20Lincoln%20November%201863.jpg,http://www.wikidata.org/entity/Q215062,Mary Todd Lincoln,,wife of Abraham Lincoln and First Lady of the United States,https://en.wikipedia.org/wiki/Mary%20Todd%20Lincoln,http://commons.wikimedia.org/wiki/Special:FilePath/Mary%20Todd%20Lincoln2crop.jpg
http://www.wikidata.org/entity/Q8612,Andrew Johnson,,"American politician, 17th president of the United States (in office from 1865 to 1869)",https://en.wikipedia.org/wiki/Andrew%20Johnson,http://commons.wikimedia.org/wiki/Special:FilePath/President%20Andrew%20Johnson.jpg,http://www.wikidata.org/entity/Q234295,Eliza McCardle Johnson,,American politician,https://en.wikipedia.org/wiki/Eliza%20McCardle%20Johnson,http://commons.wikimedia.org/wiki/Special:FilePath/ElizaJohnson.jpg
http://www.wikidata.org/entity/Q34836,Ulysses S. Grant,"Ulysses Simpson Grant, Hiram Ulysses Grant, Ulysses Grant",18th President of the United States,https://en.wikipedia.org/wiki/Ulysses%20S.%20Grant,http://commons.wikimedia.org/wiki/Special:FilePath/Ugrant.jpeg,http://www.wikidata.org/entity/Q233641,Julia Grant,,First Lady of the United States,https://en.wikipedia.org/wiki/Julia%20Grant,http://commons.wikimedia.org/wiki/Special:FilePath/Julia%20Dent%20Grant.jpg
http://www.wikidata.org/entity/Q35686,Rutherford B. Hayes,"Rutherford Birchard Hayes, Rutherford Hayes","American politician, 19th president of the United States (in office from 1877 to 1881)",https://en.wikipedia.org/wiki/Rutherford%20B.%20Hayes,http://commons.wikimedia.org/wiki/Special:FilePath/President%20Rutherford%20Hayes%201870%20-%201880%20Restored.jpg,http://www.wikidata.org/entity/Q234275,Lucy Webb Hayes,,First Lady of the United States,https://en.wikipedia.org/wiki/Lucy%20Hayes,http://commons.wikimedia.org/wiki/Special:FilePath/Lhayes.jpeg
http://www.wikidata.org/entity/Q35686,Rutherford B. Hayes,"Rutherford Birchard Hayes, Rutherford Hayes","American politician, 19th president of the United States (in office from 1877 to 1881)",https://en.wikipedia.org/wiki/Rutherford%20B.%20Hayes,http://commons.wikimedia.org/wiki/Special:FilePath/President%20Rutherford%20Hayes%201870%20-%201880%20Restored.jpg,http://www.wikidata.org/entity/Q234275,Lucy Webb Hayes,,First Lady of the United States,https://en.wikipedia.org/wiki/Lucy%20Hayes,http://commons.wikimedia.org/wiki/Special:FilePath/Lucy%20Webb%20Hayes%20-%20Brady-Handy.jpg
http://www.wikidata.org/entity/Q34597,James A. Garfield,James Abram Garfield,"American politician, 20th president of the United States (in office in 1881)",https://en.wikipedia.org/wiki/James%20A.%20Garfield,http://commons.wikimedia.org/wiki/Special:FilePath/James%20Abram%20Garfield%2C%20photo%20portrait%20seated.jpg,http://www.wikidata.org/entity/Q234261,Lucretia Garfield,Lucretia Rudolph-Garfield,First Lady of the United States,https://en.wikipedia.org/wiki/Lucretia%20Garfield,http://commons.wikimedia.org/wiki/Special:FilePath/Lucretia%20Garfield%20-%20Brady-Handy.jpg
http://www.wikidata.org/entity/Q35498,Chester A. Arthur,"Chester Alan Arthur, Chester Arthur","American politician, 21st president of the United States (in office from 1881 to 1885)",https://en.wikipedia.org/wiki/Chester%20A.%20Arthur,http://commons.wikimedia.org/wiki/Special:FilePath/Chester%20Arthur%201880.jpg,http://www.wikidata.org/entity/Q2306099,Ellen Lewis Herndon Arthur,,First Lady of the United States,https://en.wikipedia.org/wiki/Nell%20Arthur,http://commons.wikimedia.org/wiki/Special:FilePath/Ellen%20Arthur.jpg
http://www.wikidata.org/entity/Q35171,Grover Cleveland,"Grover Cleveland Jr., S. Grover Cleveland, Stephen Grover Cleveland, Stephen Grover Cleveland Jr.",22nd and 24th president of the United States,https://en.wikipedia.org/wiki/Grover%20Cleveland,http://commons.wikimedia.org/wiki/Special:FilePath/StephenGroverCleveland.png,http://www.wikidata.org/entity/Q233644,Frances Folsom Cleveland Preston,Frances Folsom Cleveland,First Lady of the United States,https://en.wikipedia.org/wiki/Frances%20Folsom%20Cleveland%20Preston,http://commons.wikimedia.org/wiki/Special:FilePath/Frances%20Folsom%20Cleveland.jpg
http://www.wikidata.org/entity/Q35171,Grover Cleveland,"Grover Cleveland Jr., S. Grover Cleveland, Stephen Grover Cleveland, Stephen Grover Cleveland Jr.",22nd and 24th president of the United States,https://en.wikipedia.org/wiki/Grover%20Cleveland,http://commons.wikimedia.org/wiki/Special:FilePath/StephenGroverCleveland.png,http://www.wikidata.org/entity/Q233644,Frances Folsom Cleveland Preston,Frances Folsom Cleveland,First Lady of the United States,https://en.wikipedia.org/wiki/Frances%20Folsom%20Cleveland%20Preston,http://commons.wikimedia.org/wiki/Special:FilePath/Frances%20Folsom%20Cleveland.jpg
http://www.wikidata.org/entity/Q35678,Benjamin Harrison,,"American politician, 23rd president of the United States (in office from 1889 to 1893)",https://en.wikipedia.org/wiki/Benjamin%20Harrison,http://commons.wikimedia.org/wiki/Special:FilePath/Benjamin%20Harrison%20%28official%20Presidential%20portrait%2C%201895%29.jpg,http://www.wikidata.org/entity/Q234263,Caroline Harrison,Caroline Lavinia Scott,first wife of the 23rd United States president Benjamin Harrison,https://en.wikipedia.org/wiki/Caroline%20Harrison,http://commons.wikimedia.org/wiki/Special:FilePath/Caroline%20Harrison.jpg
http://www.wikidata.org/entity/Q35678,Benjamin Harrison,,"American politician, 23rd president of the United States (in office from 1889 to 1893)",https://en.wikipedia.org/wiki/Benjamin%20Harrison,http://commons.wikimedia.org/wiki/Special:FilePath/Benjamin%20Harrison%20%28official%20Presidential%20portrait%2C%201895%29.jpg,http://www.wikidata.org/entity/Q2421426,Mary Dimmick Harrison,Mary Scott Lord,second wife of the 23rd United States president Benjamin Harrison,https://en.wikipedia.org/wiki/Mary%20Dimmick%20Harrison,http://commons.wikimedia.org/wiki/Special:FilePath/Mary%20Dimmick%20Harrison.jpg
http://www.wikidata.org/entity/Q35171,Grover Cleveland,"Grover Cleveland Jr., S. Grover Cleveland, Stephen Grover Cleveland, Stephen Grover Cleveland Jr.",22nd and 24th president of the United States,https://en.wikipedia.org/wiki/Grover%20Cleveland,http://commons.wikimedia.org/wiki/Special:FilePath/StephenGroverCleveland.png,http://www.wikidata.org/entity/Q233644,Frances Folsom Cleveland Preston,Frances Folsom Cleveland,First Lady of the United States,https://en.wikipedia.org/wiki/Frances%20Folsom%20Cleveland%20Preston,http://commons.wikimedia.org/wiki/Special:FilePath/Frances%20Folsom%20Cleveland.jpg
http://www.wikidata.org/entity/Q35171,Grover Cleveland,"Grover Cleveland Jr., S. Grover Cleveland, Stephen Grover Cleveland, Stephen Grover Cleveland Jr.",22nd and 24th president of the United States,https://en.wikipedia.org/wiki/Grover%20Cleveland,http://commons.wikimedia.org/wiki/Special:FilePath/StephenGroverCleveland.png,http://www.wikidata.org/entity/Q233644,Frances Folsom Cleveland Preston,Frances Folsom Cleveland,First Lady of the United States,https://en.wikipedia.org/wiki/Frances%20Folsom%20Cleveland%20Preston,http://commons.wikimedia.org/wiki/Special:FilePath/Frances%20Folsom%20Cleveland.jpg
http://www.wikidata.org/entity/Q35041,William McKinley,,"American politician, 25th president of the United States (in office from 1897 to 1901)",https://en.wikipedia.org/wiki/William%20McKinley,http://commons.wikimedia.org/wiki/Special:FilePath/Mckinley.jpg,http://www.wikidata.org/entity/Q238397,Ida Saxton McKinley,,First Lady of the United States,https://en.wikipedia.org/wiki/Ida%20Saxton%20McKinley,http://commons.wikimedia.org/wiki/Special:FilePath/ISMcKinley.jpg
http://www.wikidata.org/entity/Q33866,Theodore Roosevelt,"Teddy, Teddy Roosevelt, Theodore ""Teddy"" Roosevelt","American politician, 26th president of the United States",https://en.wikipedia.org/wiki/Theodore%20Roosevelt,http://commons.wikimedia.org/wiki/Special:FilePath/Theodore%20Roosevelt%201901-08.jpg,http://www.wikidata.org/entity/Q237590,Edith Roosevelt,Edith Kermit Carow Roosevelt,Second wife of U.S. President Theodore Roosevelt,https://en.wikipedia.org/wiki/Edith%20Roosevelt,http://commons.wikimedia.org/wiki/Special:FilePath/Edith%20Kermit%20Carow%20Roosevelt%201900-1910.jpg
http://www.wikidata.org/entity/Q33866,Theodore Roosevelt,"Teddy, Teddy Roosevelt, Theodore ""Teddy"" Roosevelt","American politician, 26th president of the United States",https://en.wikipedia.org/wiki/Theodore%20Roosevelt,http://commons.wikimedia.org/wiki/Special:FilePath/Theodore%20Roosevelt%201901-08.jpg,http://www.wikidata.org/entity/Q2836599,Alice Hathaway Lee Roosevelt,,First wife of Theodore Roosevelt,https://en.wikipedia.org/wiki/Alice%20Hathaway%20Lee%20Roosevelt,http://commons.wikimedia.org/wiki/Special:FilePath/Alice%20Hathaway%20Roosevelt%201.jpg
http://www.wikidata.org/entity/Q35648,William Howard Taft,"William Taft, William H. Taft","American politician, 27th president of the United States (in office from 1909 to 1913)",https://en.wikipedia.org/wiki/William%20Howard%20Taft,http://commons.wikimedia.org/wiki/Special:FilePath/WmHTaft.jpg,http://www.wikidata.org/entity/Q255115,Helen Herron Taft,,First Lady to William Howard Taft,https://en.wikipedia.org/wiki/Helen%20Herron%20Taft,http://commons.wikimedia.org/wiki/Special:FilePath/Helen%20Herron%20Taft%20cph.3a02670.jpg
http://www.wikidata.org/entity/Q34296,Woodrow Wilson,"T. Woodrow Wilson, Thomas W. Wilson, Thomas Woodrow Wilson","American politician, 28th president of the United States (in office from 1913 to 1921)",https://en.wikipedia.org/wiki/Woodrow%20Wilson,http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Woodrow%20Wilson%2C%20Harris%20%26%20Ewing%20bw%20photo%20portrait%2C%201919.jpg,http://www.wikidata.org/entity/Q234283,Ellen Axson Wilson,,First Lady of the United States,https://en.wikipedia.org/wiki/Ellen%20Axson%20Wilson,http://commons.wikimedia.org/wiki/Special:FilePath/ELWilson.jpg
http://www.wikidata.org/entity/Q34296,Woodrow Wilson,"T. Woodrow Wilson, Thomas W. Wilson, Thomas Woodrow Wilson","American politician, 28th president of the United States (in office from 1913 to 1921)",https://en.wikipedia.org/wiki/Woodrow%20Wilson,http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Woodrow%20Wilson%2C%20Harris%20%26%20Ewing%20bw%20photo%20portrait%2C%201919.jpg,http://www.wikidata.org/entity/Q255169,Edith Bolling Galt Wilson,Edith Bolling Wilson,First Lady of the United states,https://en.wikipedia.org/wiki/Edith%20Wilson,http://commons.wikimedia.org/wiki/Special:FilePath/Edith%20Wilson%20cropped%202.jpg
http://www.wikidata.org/entity/Q35286,Warren G. Harding,"Warren Gamaliel Harding, Warren Harding","American politician, 29th president of the United States (in office from 1921 to 1923)",https://en.wikipedia.org/wiki/Warren%20G.%20Harding,http://commons.wikimedia.org/wiki/Special:FilePath/Warren%20G%20Harding%20portrait%20as%20senator%20June%201920.jpg,http://www.wikidata.org/entity/Q233634,Florence Harding,"Florence Mabel ""Flossie"" Kling Harding","First Lady of the United States, 1921 to 1923",https://en.wikipedia.org/wiki/Florence%20Harding,http://commons.wikimedia.org/wiki/Special:FilePath/Florence%20Harding.jpg
http://www.wikidata.org/entity/Q36023,Calvin Coolidge,"John Calvin Coolidge Jr., John Calvin Coolidge, Jr., John Calvin Coolidge，Jr.","American politician, 30th president of the United States (in office from 1923 to 1929)",https://en.wikipedia.org/wiki/Calvin%20Coolidge,http://commons.wikimedia.org/wiki/Special:FilePath/Calvin%20Coolidge%20photo%20portrait%20head%20and%20shoulders.jpg,http://www.wikidata.org/entity/Q234287,Grace Coolidge,"Grace Anna Goodhue Coolidge, Grace Goodhue Coolidge",wife of 30th President of the United States Calvin Coolidge,https://en.wikipedia.org/wiki/Grace%20Coolidge,http://commons.wikimedia.org/wiki/Special:FilePath/Grace%20Coolidge.png
http://www.wikidata.org/entity/Q35236,Herbert Hoover,Herbert Clark Hoover,"American politician, 31st president of the United States (in office from 1929 to 1933)",https://en.wikipedia.org/wiki/Herbert%20Hoover,http://commons.wikimedia.org/wiki/Special:FilePath/Herbert%20Hoover%20-%20NARA%20-%20532049.jpg,http://www.wikidata.org/entity/Q233669,Lou Henry Hoover,,First Lady of the United States,https://en.wikipedia.org/wiki/Lou%20Henry%20Hoover,http://commons.wikimedia.org/wiki/Special:FilePath/Louhenryhoover.jpg
http://www.wikidata.org/entity/Q8007,Franklin Delano Roosevelt,"Franklin D. Roosevelt, FDR, Franklin Roosevelt",32nd US president,https://en.wikipedia.org/wiki/Franklin%20D.%20Roosevelt,http://commons.wikimedia.org/wiki/Special:FilePath/Froosevelt.jpeg,http://www.wikidata.org/entity/Q83396,Eleanor Roosevelt,Anna Eleanor Roosevelt,"American politician, diplomat, and activist, and First Lady of the United States",https://en.wikipedia.org/wiki/Eleanor%20Roosevelt,http://commons.wikimedia.org/wiki/Special:FilePath/Eleanor%20Roosevelt%20at%20United%20Nations%20in%20Paris%20-%20NARA%20-%20195965.jpg
http://www.wikidata.org/entity/Q11613,Harry S. Truman,"Harry Truman, Truman","American politician, 33rd president of the United States (in office from 1945 to 1953)",https://en.wikipedia.org/wiki/Harry%20S.%20Truman,http://commons.wikimedia.org/wiki/Special:FilePath/HarryTruman.jpg,http://www.wikidata.org/entity/Q233652,Bess Truman,"Bess Wallace Truman, Elizabeth Virginia Truman, Elizabeth Virginia Wallace, Elizabeth Virginia Wallace Truman",First Lady of the United States,https://en.wikipedia.org/wiki/Bess%20Truman,http://commons.wikimedia.org/wiki/Special:FilePath/Bess%20Truman%20cropped.jpg
http://www.wikidata.org/entity/Q9916,Dwight D. Eisenhower,"Ike, David Dwight Eisenhower, Dwight David Eisenhower, Dwight Eisenhower","American general and politician, 34th president of the United States (in office from 1953 to 1961)",https://en.wikipedia.org/wiki/Dwight%20D.%20Eisenhower,http://commons.wikimedia.org/wiki/Special:FilePath/Dwight%20D.%20Eisenhower%2C%20official%20Presidential%20portrait.jpg,http://www.wikidata.org/entity/Q233686,Mamie Eisenhower,"Mamie, Mamie Doud Eisenhower, Mamie Geneva Doud, Mamie Geneva Doud Eisenhower",wife of President Dwight D. Eisenhower,https://en.wikipedia.org/wiki/Mamie%20Eisenhower,http://commons.wikimedia.org/wiki/Special:FilePath/Mamie%20Eisenhower%20color%20photo%20portrait%2C%20White%20House%2C%20May%201954.jpg
http://www.wikidata.org/entity/Q9696,John F. Kennedy,"John Kennedy, Jack Kennedy, John Fitzgerald Kennedy, JF Kennedy, JFK, John F. Kennedy",35th president of the United States of America,https://en.wikipedia.org/wiki/John%20F.%20Kennedy,http://commons.wikimedia.org/wiki/Special:FilePath/John%20F%20Kennedy.jpg,http://www.wikidata.org/entity/Q165421,Jacqueline Kennedy Onassis,"Jackie Bouvier Kennedy, Jackie Bouvier Kennedy Onassis, Jackie Kennedy Onassis, Jackie O., Jackie Onassis, Jackie-O, Jacqueline Bouvier, Jacqueline Bouvier Kennedy, Jacqueline Bouvier Kennedy Onassis, Jacqueline Bouvier Onassis, Jacqueline Kennedy, Jacqueline Kennedy-Onassis, Jacqueline Lee Bouvier, Jacqueline Lee Bouvier Kennedy, Jacqueline Lee Bouvier Kennedy Onassis, Jacqueline Lee Kennedy, Jacqueline Onassis","public figure, First Lady to 35th U.S. President John F. Kennedy",https://en.wikipedia.org/wiki/Jacqueline%20Kennedy%20Onassis,http://commons.wikimedia.org/wiki/Special:FilePath/JBK%20In%20Ft%20Worth%20%2811-22-63%29.jpg
http://www.wikidata.org/entity/Q9640,Lyndon B. Johnson,"LBJ, Lyndon Baines Johnson, Lyndon Johnson","American politician, 36th president of the United States (in office from 1963 to 1969)",https://en.wikipedia.org/wiki/Lyndon%20B.%20Johnson,http://commons.wikimedia.org/wiki/Special:FilePath/Lbj2.jpg,http://www.wikidata.org/entity/Q233648,Lady Bird Johnson,"Claudia Alta ""Lady Bird"" Taylor Johnson, Lady Bird Taylor Johnson","wife of the 36th President of the United States, Lyndon B. Johnson",https://en.wikipedia.org/wiki/Lady%20Bird%20Johnson,http://commons.wikimedia.org/wiki/Special:FilePath/Lady%20Bird%20Johnson%2C%20photo%20portrait%2C%20standing%20at%20rear%20of%20White%20House%2C%20color%2C%20crop.jpg
http://www.wikidata.org/entity/Q9588,Richard Nixon,"Nixon, Richard Milhous Nixon","American politician, 37th president of the United States (in office from 1969 to 1974)",https://en.wikipedia.org/wiki/Richard%20Nixon,http://commons.wikimedia.org/wiki/Special:FilePath/RNIXON.gif,http://www.wikidata.org/entity/Q158707,Pat Nixon,"Patricia Ryan Nixon, Thelma ""Pat"" Ryan Nixon, Thelma Catherine ""Pat"" Ryan Nixon, Thelma Catherine Patricia Ryan Nixon, Thelma Catherine Ryan Nixon",First Lady of the United States; wife of 37th United States President Richard Nixon,https://en.wikipedia.org/wiki/Pat%20Nixon,http://commons.wikimedia.org/wiki/Special:FilePath/PatNixon.jpg
http://www.wikidata.org/entity/Q9582,Gerald Ford,"Gerald Ford, Jr., Gerald Rudolph ""Jerry"" Ford, Jr., Gerald Rudolph Ford Jr., Gerald Rudolph Ford, Jr., Leslie Lynch King Jr., Leslie Lynch King, Jr.","American politician, 38th president of the United States (in office from 1974 to 1977)",https://en.wikipedia.org/wiki/Gerald%20Ford,http://commons.wikimedia.org/wiki/Special:FilePath/Gerald%20Ford.jpg,http://www.wikidata.org/entity/Q213122,Betty Ford,"Nanny, Betty Bloomer, Elizabeth Ann Bloomer, Elizabeth Ann Bloomer Warren Ford, Elizabeth Ann Ford, Elizabeth Anne Blommer Ford, Elizabeth Anne Bloomer Ford",U.S. First Lady: wife of Gerald Ford,https://en.wikipedia.org/wiki/Betty%20Ford,http://commons.wikimedia.org/wiki/Special:FilePath/Betty%20Ford%2C%20official%20White%20House%20photo%20color%2C%201974.jpg
http://www.wikidata.org/entity/Q23685,Jimmy Carter,"James Carter, 39th President of the United States, James ""Jimmy"" Carter, James E. Carter, James E. Carter Jr., James Earl ""Jimmy"" Carter, James Earl ""Jimmy"" Carter Jr, James Earl ""Jimmy"" Carter, Jr., James Earl (Jimmy) Carter, James Earl Carter, James Earl Carter Jr., James Earl Carter, Jr., James Earle Carter, Jimmy E. Carter, Jimmy Earl Carter, President Carter, President Jimmy Carter","American politician, 39th president of the United States (in office from 1977 to 1981)",https://en.wikipedia.org/wiki/Jimmy%20Carter,http://commons.wikimedia.org/wiki/Special:FilePath/JimmyCarterPortrait2.jpg,http://www.wikidata.org/entity/Q219353,Rosalynn Carter,Eleanor Rosalynn Smith Carter,"Wife of the 39th President of the United States, Jimmy Carter",https://en.wikipedia.org/wiki/Rosalynn%20Carter,http://commons.wikimedia.org/wiki/Special:FilePath/Rose%20Carter%2C%20official%20color%20photo%2C%201977.jpg
